id,priority,bucket,engine,mode,fen,notes,material_cp_white_minus_black,mode_options_applied,mode_options_missing,our_nnue_static_cp,our_classical_cp,our_eval_final_cp,internal_static_available,internal_static_error,internal_nnue_stm_cp,internal_nnue_white_cp,internal_classical_stm_cp,internal_classical_white_cp,internal_piece_count,uci_nnue_cp,uci_classical_cp,bestmove_final,score_volatility_cp,search_static_gap_d8_cp,suggested_class,sf_nnue_cp,sf_final_cp,sf_classical_cp,sf_bestmove_final,error,d4_score_cp,d4_score_raw,d4_bestmove,d4_nodes,d4_qnodes,d4_time_ms,sf_d4_score_cp,sf_d4_score_raw,sf_d4_bestmove,sf_d4_nodes,d6_score_cp,d6_score_raw,d6_bestmove,d6_nodes,d6_qnodes,d6_time_ms,sf_d6_score_cp,sf_d6_score_raw,sf_d6_bestmove,sf_d6_nodes,d8_score_cp,d8_score_raw,d8_bestmove,d8_nodes,d8_qnodes,d8_time_ms,sf_d8_score_cp,sf_d8_score_raw,sf_d8_bestmove,sf_d8_nodes,d10_score_cp,d10_score_raw,d10_bestmove,d10_nodes,d10_qnodes,d10_time_ms,sf_d10_score_cp,sf_d10_score_raw,sf_d10_bestmove,sf_d10_nodes
Q05,P1,quiet_static,our_engine,no_lmr,r2q1rk1/pp2bppp/2n1bn2/2ppp3/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 1,French-style locked center,0,Enable LMR=false,,-16,-128,,True,,-16,-16,-128,-128,32,,,d4e5,42,115,unclassified,,,,,,30,cp:30,e4d5,5431,,92,,,,,72,cp:72,d4e5,18243,,252,,,,,99,cp:99,d4e5,49649,,716,,,,,99,cp:99,d4e5,255680,,3680,,,,
Q06,P1,quiet_static,our_engine,no_lmr,r2q1rk1/pp1bbppp/2n1pn2/2pp4/2PP4/2NBPN2/PP2BPPP/R2Q1RK1 w - - 0 1,English/QGD quiet tension,0,Enable LMR=false,,26,28,,True,,26,26,28,28,32,,,c4d5,11,-10,unclassified,,,,,,27,cp:27,c4d5,6279,,115,,,,,16,cp:16,c4d5,34979,,502,,,,,16,cp:16,c4d5,197503,,2851,,,,,17,cp:17,c4d5,610986,,8636,,,,
Q07,P1,quiet_static,our_engine,no_lmr,r2q1rk1/pp2bppp/2npbn2/2p1p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 w - - 0 1,KID/Benoni-style closed center,0,Enable LMR=false,,56,131,,True,,56,56,131,131,32,,,d4d5,80,354,unclassified,,,,,,469,cp:469,d4d5,1852,,53,,,,,490,cp:490,d4d5,19463,,303,,,,,410,cp:410,d4d5,121853,,1840,,,,,472,cp:472,d4d5,443082,,6748,,,,
Q08,P1,quiet_static,our_engine,no_lmr,r1bq1rk1/pp2bppp/2n1pn2/2pp4/2PP4/2N1PN2/PP1BBPPP/R2Q1RK1 w - - 0 1,Maroczy-like quiet structure,0,Enable LMR=false,,21,61,,True,,21,21,61,61,32,,,d4c5,15,-4,unclassified,,,,,,37,cp:37,c4d5,2392,,64,,,,,22,cp:22,c4d5,13370,,200,,,,,17,cp:17,c4d5,150351,,2086,,,,,32,cp:32,d4c5,741011,,10227,,,,
P01,P1,pawn_endgame_rfp,our_engine,no_lmr,8/8/8/3k4/3P4/3K4/8/8 w - - 0 1,"Opposition, white to move",100,Enable LMR=false,,0,150,,True,,0,0,150,150,3,,,d3c3,13,15,unclassified,,,,,,0,cp:0,d3c2,221,,33,,,,,2,cp:2,d3c3,1291,,41,,,,,15,cp:15,d3c3,3732,,55,,,,,27,cp:27,d3c3,10195,,100,,,,
P02,P1,pawn_endgame_rfp,our_engine,no_lmr,8/8/8/3k4/3P4/3K4/8/8 b - - 0 1,"Opposition, black to move",100,Enable LMR=false,,0,-150,,True,,0,0,-150,150,3,,,d5d6,41,-41,unclassified,,,,,,-10,cp:-10,d5e6,422,,31,,,,,0,cp:0,d5d6,1087,,37,,,,,-41,cp:-41,d5d6,4074,,61,,,,,-44,cp:-44,d5d6,8588,,100,,,,
P03,P1,pawn_endgame_rfp,our_engine,no_lmr,8/8/8/8/2k5/8/2P5/2K5 w - - 0 1,"K+P boundary, white to move",100,Enable LMR=false,,0,70,,True,,0,0,70,70,3,,,c1b2,16,0,unclassified,,,,,,0,cp:0,c1d1,175,,33,,,,,0,cp:0,c1d1,769,,38,,,,,0,cp:0,c1d1,2701,,51,,,,,16,cp:16,c1b2,9422,,98,,,,
P04,P1,pawn_endgame_rfp,our_engine,no_lmr,8/8/8/8/2k5/8/2P5/2K5 b - - 0 1,"K+P boundary, black to move",100,Enable LMR=false,,0,-70,,True,,0,0,-70,70,3,,,c4c3,0,0,unclassified,,,,,,0,cp:0,c4c3,177,,37,,,,,0,cp:0,c4c3,819,,42,,,,,0,cp:0,c4c3,2613,,57,,,,,0,cp:0,c4c3,7451,,90,,,,
P05,P1,pawn_endgame_rfp,our_engine,no_lmr,8/5k2/6p1/5p2/5P2/6P1/5K2/8 w - - 0 1,Passed pawn race,0,Enable LMR=false,,9,0,,True,,9,9,0,0,6,,,f2e2,0,-9,unclassified,,,,,,0,cp:0,f2e2,1023,,43,,,,,0,cp:0,f2e2,2693,,57,,,,,0,cp:0,f2e2,8132,,101,,,,,0,cp:0,f2e2,19685,,193,,,,
P06,P1,pawn_endgame_rfp,our_engine,no_lmr,8/6k1/6p1/5p2/P4P2/6P1/6K1/8 w - - 0 1,Outside passer race,100,Enable LMR=false,,118,990,,True,,118,118,990,990,7,,,a4a5,1379,1492,unstable,,,,,,146,cp:146,a4a5,546,,41,,,,,231,cp:231,a4a5,3145,,74,,,,,1610,cp:1610,a4a5,20872,,219,,,,,1743,cp:1743,a4a5,528886,,4722,,,,
